diff,group,variable,MOM6-CICE6_1deg_jra55do_ryf/ice_in,MOM6-CICE6_1deg_jra55do_iaf/ice_in,MOM6-CICE6_025deg_jra55do_ryf/ice_in
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_format"", ""grid_format"")",nc,nc,nc
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_ice"", ""grid_ice"")",B,B,B
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_ocn"", ""grid_ocn"")",A,A,A
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_type"", ""grid_type"")",tripole,tripole,tripole
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kcatbound"", ""kcatbound"")",0,0,0
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kmt_file"", ""kmt_file"")",./INPUT/kmt.nc,./INPUT/kmt.nc,./INPUT/kmt.nc
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nblyr"", ""nblyr"")",1,1,1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ncat"", ""ncat"")",5,5,5
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nfsd"", ""nfsd"")",1,1,1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nilyr"", ""nilyr"")",4,4,4
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nslyr"", ""nslyr"")",1,1,1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_mechred_nml"", ""&icefields_mechred_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dardg1dt"", ""f_dardg1dt"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_mechred_nml"", ""&icefields_mechred_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dardg2dt"", ""f_dardg2dt"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_mechred_nml"", ""&icefields_mechred_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dvirdgdt"", ""f_dvirdgdt"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_aice"", ""f_aice"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_aicen"", ""f_aicen"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_aisnap"", ""f_aisnap"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_albpnd"", ""f_albpnd"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_atmdir"", ""f_atmdir"")",x,x,x
