diff,group,variable,MOM6-CICE6_cice_config/ice_in,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml,MOM6-CICE6_1deg_jra55do_ryf/ice_in
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=e_plasticpot"", ""e_plasticpot"")",,,2.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=e_yieldcurve"", ""e_yieldcurve"")",,,2.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=iceruf"", ""iceruf"")",,0.0005,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=k1"", ""k1"")",8.0,,8.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=k2"", ""k2"")",,,15.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kdyn"", ""kdyn"")",,1,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=krdg_partic"", ""krdg_partic"")",,1,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=krdg_redist"", ""krdg_redist"")",,1,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kridge"", ""kridge"")",,,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kstrength"", ""kstrength"")",,1,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ktens"", ""ktens"")",,,0.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ktransport"", ""ktransport"")",,,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=mu_rdg"", ""mu_rdg"")",,3,4.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ndte"", ""ndte"")",,120,120
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=pstar"", ""pstar"")",,,27500.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=revised_evp"", ""revised_evp"")",,False,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=seabed_stress"", ""seabed_stress"")",,,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=seabed_stress_method"", ""seabed_stress_method"")",,,LKD
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=sinw"", ""sinw"")",,0.0,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ssh_stress"", ""ssh_stress"")",,,coupled
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=threshold_hw"", ""threshold_hw"")",,,30.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=atm_data_dir"", ""atm_data_dir"")",,unknown_atm_data_dir,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=atm_data_format"", ""atm_data_format"")",,nc,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=atm_data_type"", ""atm_data_type"")",,default,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=atmbndy"", ""atmbndy"")",,default,default
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=calc_strair"", ""calc_strair"")",,True,True
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=calc_tsfc"", ""calc_tsfc"")",,True,True
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=emissivity"", ""emissivity"")",0.95,,0.95
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=fbot_xfer_type"", ""fbot_xfer_type"")",,,constant
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=formdrag"", ""formdrag"")",,False,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=fyear_init"", ""fyear_init"")",,1,
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=highfreq"", ""highfreq"")",True,True,True
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_ref_salinity"", ""ice_ref_salinity"")",,,4.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=l_mpond_fresh"", ""l_mpond_fresh"")",,,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=natmiter"", ""natmiter"")",,,5
