diff,group,variable,ACCESS-OM2_1deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_025deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_01deg_jra55_ryf/ocean/input.nml
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=viscosity_ncar_2007"", ""viscosity_ncar_2007"")",False,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=viscosity_scale_by_rossby"", ""viscosity_scale_by_rossby"")",True,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=viscosity_scale_by_rossby_power"", ""viscosity_scale_by_rossby_power"")",4.0,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_mixdownslope_nml"", ""&ocean_mixdownslope_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mixdownslope_mask_gfdl"", ""mixdownslope_mask_gfdl"")",False,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_mixdownslope_nml"", ""&ocean_mixdownslope_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mixdownslope_npts"", ""mixdownslope_npts"")",4,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_mixdownslope_nml"", ""&ocean_mixdownslope_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=read_mixdownslope_mask"", ""read_mixdownslope_mask"")",False,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_mixdownslope_nml"", ""&ocean_mixdownslope_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_model_nml"", ""&ocean_model_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=io_layout"", ""io_layout"")","[4, 3]","[6, 5]","[5, 5]"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_model_nml"", ""&ocean_model_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=layout"", ""layout"")","[16, 15]","[48, 40]","[80, 75]"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_nml"", ""&ocean_nphysics_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_nphysicsc"", ""use_nphysicsc"")",True,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_nml"", ""&ocean_nphysics_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure"", ""agm_closure"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_baroclinic"", ""agm_closure_baroclinic"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_buoy_freq"", ""agm_closure_buoy_freq"")",0.004,0.004,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_eady_ave_mixed"", ""agm_closure_eady_ave_mixed"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_eady_cap"", ""agm_closure_eady_cap"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_eady_smooth_horz"", ""agm_closure_eady_smooth_horz"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_eady_smooth_vert"", ""agm_closure_eady_smooth_vert"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_grid_scaling"", ""agm_closure_grid_scaling"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_length"", ""agm_closure_length"")",50000.0,20000.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_lower_depth"", ""agm_closure_lower_depth"")",2000.0,2000.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_max"", ""agm_closure_max"")",600.0,200.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_min"", ""agm_closure_min"")",50.0,1.0,
