diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ocean/input.nml,ACCESS-OM2_release-01deg_jra55_ryf/ocean/input.nml
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mom_oasis3_interface_nml"", ""&mom_oasis3_interface_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fields_out"", ""fields_out"")","['t_surf', 's_surf', 'u_surf', 'v_surf', 'dssldx', 'dssldy', 'frazil']","['t_surf', 's_surf', 'u_surf', 'v_surf', 'dssldx', 'dssldy', 'frazil']"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mom_oasis3_interface_nml"", ""&mom_oasis3_interface_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=num_fields_in"", ""num_fields_in"")",15,17
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mom_oasis3_interface_nml"", ""&mom_oasis3_interface_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=num_fields_out"", ""num_fields_out"")",7,7
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mom_oasis3_interface_nml"", ""&mom_oasis3_interface_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=send_after_ocean_update"", ""send_after_ocean_update"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mom_oasis3_interface_nml"", ""&mom_oasis3_interface_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=send_before_ocean_update"", ""send_before_ocean_update"")",False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=monin_obukhov_nml"", ""&monin_obukhov_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=neutral"", ""neutral"")",True,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mpp_io_nml"", ""&mpp_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=deflate_level"", ""deflate_level"")",5,5
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mpp_io_nml"", ""&mpp_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=shuffle"", ""shuffle"")",1,1
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_adv_vel_diag_nml"", ""&ocean_adv_vel_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",576,576
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_adv_vel_diag_nml"", ""&ocean_adv_vel_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=large_cfl_value"", ""large_cfl_value"")",10.0,10.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_adv_vel_diag_nml"", ""&ocean_adv_vel_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=max_cfl_value"", ""max_cfl_value"")",100.0,100.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_adv_vel_diag_nml"", ""&ocean_adv_vel_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=verbose_cfl"", ""verbose_cfl"")",True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_advection_velocity_nml"", ""&ocean_advection_velocity_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=max_advection_velocity"", ""max_advection_velocity"")",0.2,0.3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_albedo_nml"", ""&ocean_albedo_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_albedo_option"", ""ocean_albedo_option"")",2,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=barotropic_halo"", ""barotropic_halo"")",10,10
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=barotropic_time_stepping_a"", ""barotropic_time_stepping_a"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=barotropic_time_stepping_b"", ""barotropic_time_stepping_b"")",False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=debug_this_module"", ""debug_this_module"")",False,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",576,576
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eta_max"", ""eta_max"")",8.0,8.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=frac_crit_cell_height"", ""frac_crit_cell_height"")",0.2,0.2
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=pred_corr_gamma"", ""pred_corr_gamma"")",0.2,0.2
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_eta_diag_laplacian"", ""smooth_eta_diag_laplacian"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_eta_t_biharmonic"", ""smooth_eta_t_biharmonic"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_eta_t_laplacian"", ""smooth_eta_t_laplacian"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_pbot_t_biharmonic"", ""smooth_pbot_t_biharmonic"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_pbot_t_laplacian"", ""smooth_pbot_t_laplacian"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=truncate_eta"", ""truncate_eta"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_legacy_barotropic_halos"", ""use_legacy_barotropic_halos"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_bih"", ""vel_micom_bih"")",0.01,0.01
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_lap"", ""vel_micom_lap"")",0.05,0.05
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_lap_diag"", ""vel_micom_lap_diag"")",0.2,0.2
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=verbose_truncate"", ""verbose_truncate"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=zero_tendency"", ""zero_tendency"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bmf_implicit"", ""bmf_implicit"")",True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=cdbot"", ""cdbot"")",0.001,
