diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",bulk_ri_ml,https://github.com/mom-ocean/MOM6/search?q=bulk_ri_ml,0.05,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",buoy_config,https://github.com/mom-ocean/MOM6/search?q=buoy_config,file,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",c_p,https://github.com/mom-ocean/MOM6/search?q=c_p,3925.0,3992.0,3992.0,3992.0,3992.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",cd_tides,https://github.com/mom-ocean/MOM6/search?q=cd_tides,,0.0018,0.0018,0.0018,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",cfc_bc_file,https://github.com/mom-ocean/MOM6/search?q=cfc_bc_file,,,,,cfc_atm_20230310.nc
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",cfl_truncate_ramp_time,https://github.com/mom-ocean/MOM6/search?q=cfl_truncate_ramp_time,,,,,7200.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",channel_config,https://github.com/mom-ocean/MOM6/search?q=channel_config,global_1deg,list,,,global_1deg
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",channel_drag,https://github.com/mom-ocean/MOM6/search?q=channel_drag,True,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",channel_list_file,https://github.com/mom-ocean/MOM6/search?q=channel_list_file,,MOM_channels_global_025,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",check_bad_surface_vals,https://github.com/mom-ocean/MOM6/search?q=check_bad_surface_vals,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",check_diffusive_cfl,https://github.com/mom-ocean/MOM6/search?q=check_diffusive_cfl,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",chl_file,https://github.com/mom-ocean/MOM6/search?q=chl_file,seawifs_1998-2006_GOLD_smoothed_2X.nc,seawifs-clim-1997-2010.1440x1080.v20180328.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",chl_varname,https://github.com/mom-ocean/MOM6/search?q=chl_varname,,chlor_a,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",coord_config,https://github.com/mom-ocean/MOM6/search?q=coord_config,file,ALE,ALE,ALE,none
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",coord_file,https://github.com/mom-ocean/MOM6/search?q=coord_file,GOLD_IC.2010.11.15.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",coriolis_scheme,https://github.com/mom-ocean/MOM6/search?q=coriolis_scheme,,SADOURNY75_ENSTRO,SADOURNY75_ENSTRO,SADOURNY75_ENSTRO,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",correct_absorption_depth,https://github.com/mom-ocean/MOM6/search?q=correct_absorption_depth,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",daymax,https://github.com/mom-ocean/MOM6/search?q=daymax,2.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",debug,https://github.com/mom-ocean/MOM6/search?q=debug,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",default_2018_answers,https://github.com/mom-ocean/MOM6/search?q=default_2018_answers,,True,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",depress_initial_surface,https://github.com/mom-ocean/MOM6/search?q=depress_initial_surface,,,,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",depth_limit_fluxes,https://github.com/mom-ocean/MOM6/search?q=depth_limit_fluxes,0.1,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",depth_scaled_khth,https://github.com/mom-ocean/MOM6/search?q=depth_scaled_khth,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",diabatic_first,https://github.com/mom-ocean/MOM6/search?q=diabatic_first,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",diag_coord_def_rho2,https://github.com/mom-ocean/MOM6/search?q=diag_coord_def_rho2,,"RFNC1:35,999.5,1028,1028.5,8.,1038.,0.0078125","FILE:diag_rho2.nc,interfaces=rho2","FILE:diag_rho2.nc,interfaces=rho2",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",diag_coord_def_z,https://github.com/mom-ocean/MOM6/search?q=diag_coord_def_z,,,"FILE:vcoord.nc,interfaces=st_edges_ocean","FILE:vcoord.nc,interfaces=st_edges_ocean","FILE:ocean_vgrid.nc,interfaces=zeta"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",diag_coords,https://github.com/mom-ocean/MOM6/search?q=diag_coords,,"['z Z ZSTAR', 'rho2 RHO2 RHO']","['z Z ZSTAR', 'rho2 RHO2 RHO']","['z Z ZSTAR', 'rho2 RHO2 RHO']",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",diffuse_ml_to_interior,https://github.com/mom-ocean/MOM6/search?q=diffuse_ml_to_interior,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dissipation_n0,https://github.com/mom-ocean/MOM6/search?q=dissipation_n0,1e-07,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dissipation_n1,https://github.com/mom-ocean/MOM6/search?q=dissipation_n1,0.0006,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",do_geothermal,https://github.com/mom-ocean/MOM6/search?q=do_geothermal,True,True,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",do_rivermix,https://github.com/mom-ocean/MOM6/search?q=do_rivermix,True,,,,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",drag_bg_vel,https://github.com/mom-ocean/MOM6/search?q=drag_bg_vel,0.1,0.1,0.1,0.1,0.1
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dt,https://github.com/mom-ocean/MOM6/search?q=dt,3600.0,900.0,900.0,900.0,1800.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dt_forcing,https://github.com/mom-ocean/MOM6/search?q=dt_forcing,7200.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dt_therm,https://github.com/mom-ocean/MOM6/search?q=dt_therm,7200.0,7200.0,1800.0,1800.0,3600.0
